date,13 weeks,26 weeks,year_end
Nov 1996,"5,520",,
Feb 1997,5411,10931,
May 1997,5550,,
August 1997,,,22360
Nov 1997,"5,454",,
Feb 1998,6719,12173,
May 1998,5655,,
August 1998,,,23233
Nov 1998,"6,557",,
Feb 1999,6455,13012,
Feb 1999,6455,13012,
May 1999,"5,703",,
August 1999,,,24752
Nov 1999,"7,235",,
Feb 2000,"7,500",14735,
Feb 2000,7500,14735,
May 2000,7396,,
August 2000,,,30099
Nov 2000,"7,294",,
Feb 2001,7064,14358,
May 2001,7845,,
August 2001,,,28890
Nov 2001,"9,473",,
Feb 2002,"9,256","18,729",
May 2002,9379,,
August 2002,,,35262
Nov 2002,"9,285",,
Feb 2003,9188,18661,
May 2003,9506,,
May 2003,"10,370",,
August 2003,,,38126
Nov 2003,"10,591",,
Feb 2004,"11,944","22,535",
May 2004,13159,,
August 2004,,,49271
Nov 2004,"11,339",,
Feb 2005,"13,358","24,571",
May 2005,12777,,
August 2005,,,52172
Nov 2005,"16,374",,
Feb 2006,"15,162","31,536",
Feb 2006,15162,31536,
May 2006,18519,,
August 2006,,,64694
Nov 2006,"20,860",,
Feb 2007,"17,679","38,539",
May 2007,17623,,
August 2007,,,73634
Nov 2007,19380,,
Feb 2008,"17,937","37,317",
Feb 2008,"17,937","37,317",
May 2008,"21,087",,
August 2008,,,78745
Nov 2008,"22,920",,
February 2009,"19,972","42,892",
May 2009,"20,586",,
August 2009,,,81270
Nov 2009,"21,093",,
Feb 2010,"18,296","39,389",
May 2010,"22,183",,
August 2010,,,76627
Nov 2010,"23,607",,
Feb 2011,"18,857","18,296",
Feb 2011,"18,858","40,420",
May 2011,"21,889",,
May 2011,"21,936",,
August 2011,,,80250
Nov 2011,"23,607",,
Feb 2012,"19,243","42,850",
May 2012,"22,378",,
August 2012,,,84295
Nov 2012,"22,456",,
Feb 2013,"21,849","34,170",
May 2013,"23,373",,
August 2013,,,88080
Nov 2013,"17,420",,
Feb 2014,"18,128","35,649",
May 2014,20366,,
August 2014,,,74931
Nov 2014,"17,342",,
Feb 2015,"19,680","37,022",
May 2015,"21,705",,
May 2015,21705,,
August 2015,,,77922
Nov 2015,"20,677",,
Feb 2016,"21,803","42,480",
May 2016,"19,916",,
August 2016,,,84551
Nov 2016,"21,585",,
Feb 2017,"22,464","44,049",